timestamp,open,high,low,close,volume,datetime
1709251200000,61130.99,61197.66,61126.0,61196.0,121.02208,2024-03-01 00:00:00
1709251260000,61196.0,61217.41,61162.0,61185.84,40.04518,2024-03-01 00:01:00
1709251320000,61185.85,61201.1,61140.6,61147.58,37.98628,2024-03-01 00:02:00
1709251380000,61147.58,61186.26,61131.1,61163.85,25.16501,2024-03-01 00:03:00
1709251440000,61163.85,61173.27,61129.91,61129.92,23.1053,2024-03-01 00:04:00
1709251500000,61129.91,61229.7,61129.91,61229.69,41.34168,2024-03-01 00:05:00
1709251560000,61229.69,61260.25,61229.69,61260.24,28.50159,2024-03-01 00:06:00
1709251620000,61260.24,61325.58,61260.24,61316.54,39.43023,2024-03-01 00:07:00
1709251680000,61316.53,61327.74,61298.13,61317.48,34.12836,2024-03-01 00:08:00
1709251740000,61317.48,61338.72,61297.55,61297.55,25.30202,2024-03-01 00:09:00
1709251800000,61297.56,61338.12,61293.17,61324.58,29.94204,2024-03-01 00:10:00
1709251860000,61324.58,61338.11,61306.0,61306.01,28.45961,2024-03-01 00:11:00
1709251920000,61306.0,61306.01,61258.0,61265.81,16.65829,2024-03-01 00:12:00
1709251980000,61265.8,61265.81,61255.17,61255.17,6.37813,2024-03-01 00:13:00
1709252040000,61255.18,61263.99,61224.48,61224.49,15.49474,2024-03-01 00:14:00
1709252100000,61224.49,61224.49,61193.71,61212.35,27.95532,2024-03-01 00:15:00
1709252160000,61212.34,61291.53,61207.24,61291.53,17.16472,2024-03-01 00:16:00
1709252220000,61291.53,61443.38,61291.52,61439.65,86.55568,2024-03-01 00:17:00
1709252280000,61439.66,61451.54,61397.05,61442.0,55.56987,2024-03-01 00:18:00
1709252340000,61442.0,61466.56,61429.71,61462.12,21.48075,2024-03-01 00:19:00
1709252400000,61462.12,61488.71,61451.1,61474.0,29.09441,2024-03-01 00:20:00
1709252460000,61474.0,61485.98,61431.1,61431.1,14.3589,2024-03-01 00:21:00
1709252520000,61431.1,61439.07,61416.0,61421.33,12.16185,2024-03-01 00:22:00
1709252580000,61421.32,61431.09,61406.0,61412.07,31.959,2024-03-01 00:23:00
1709252640000,61412.07,61417.99,61386.04,61415.99,17.58358,2024-03-01 00:24:00
1709252700000,61416.0,61499.6,61415.39,61481.99,75.38475,2024-03-01 00:25:00
1709252760000,61482.0,61522.33,61481.99,61512.0,19.50794,2024-03-01 00:26:00
1709252820000,61512.0,61628.58,61500.0,61628.57,67.15331,2024-03-01 00:27:00
1709252880000,61628.57,61699.31,61572.01,61698.02,94.56955,2024-03-01 00:28:00
1709252940000,61698.01,61749.0,61671.1,61716.74,68.78341,2024-03-01 00:29:00
1709253000000,61716.74,61741.1,61640.76,61657.27,35.12902,2024-03-01 00:30:00
1709253060000,61657.26,61694.09,61641.1,61651.11,29.66917,2024-03-01 00:31:00
1709253120000,61651.1,61659.18,61585.11,61608.72,27.79731,2024-03-01 00:32:00
1709253180000,61608.72,61608.72,61580.64,61580.64,21.37224,2024-03-01 00:33:00
1709253240000,61580.65,61580.65,61541.1,61561.09,29.16405,2024-03-01 00:34:00
1709253300000,61561.1,61641.1,61519.42,61641.09,24.21719,2024-03-01 00:35:00
1709253360000,61641.09,61714.08,61626.66,61676.01,41.30877,2024-03-01 00:36:00
1709253420000,61676.0,61676.01,61621.1,61621.11,22.68751,2024-03-01 00:37:00
1709253480000,61621.1,61647.99,61572.77,61581.32,41.53195,2024-03-01 00:38:00
1709253540000,61581.33,61640.0,61575.36,61640.0,16.66491,2024-03-01 00:39:00
1709253600000,61639.99,61640.0,61591.1,61601.91,14.60973,2024-03-01 00:40:00
1709253660000,61601.91,61621.1,61592.54,61592.54,11.88297,2024-03-01 00:41:00
1709253720000,61592.55,61610.02,61592.54,61599.27,13.86803,2024-03-01 00:42:00
1709253780000,61599.28,61632.63,61581.11,61602.95,19.89063,2024-03-01 00:43:00
1709253840000,61602.96,61602.96,61574.0,61583.53,16.36445,2024-03-01 00:44:00
1709253900000,61583.52,61583.53,61447.3,61463.25,65.83749,2024-03-01 00:45:00
1709253960000,61463.24,61494.96,61454.45,61470.05,23.22558,2024-03-01 00:46:00
1709254020000,61470.06,61493.53,61460.38,61464.79,20.18688,2024-03-01 00:47:00
1709254080000,61464.8,61511.08,61464.3,61481.2,17.23898,2024-03-01 00:48:00
1709254140000,61481.19,61504.25,61481.19,61502.08,13.183,2024-03-01 00:49:00
1709254200000,61502.09,61562.01,61487.48,61562.01,55.68742,2024-03-01 00:50:00
1709254260000,61562.0,61562.01,61513.98,61534.15,14.3781,2024-03-01 00:51:00
